card_name,card_id,image_id,image_index,image_url,filename,status
Branded Fusion,44362883,44362883,1,https://images.ygoprodeck.com/images/cards/44362883.jpg,44362883-branded-fusion.jpg,downloaded
Branded in Central Dogmatika,14220547,14220547,1,https://images.ygoprodeck.com/images/cards/14220547.jpg,14220547-branded-in-central-dogmatika.jpg,downloaded
Branded in High Spirits,29948294,29948294,1,https://images.ygoprodeck.com/images/cards/29948294.jpg,29948294-branded-in-high-spirits.jpg,downloaded
Branded in Red,82738008,82738008,1,https://images.ygoprodeck.com/images/cards/82738008.jpg,82738008-branded-in-red.jpg,downloaded
Branded in White,34995106,34995106,1,https://images.ygoprodeck.com/images/cards/34995106.jpg,34995106-branded-in-white.jpg,downloaded
Branded Loss,10065487,10065487,1,https://images.ygoprodeck.com/images/cards/10065487.jpg,10065487-branded-loss.jpg,downloaded
Branded Lost,18973184,18973184,1,https://images.ygoprodeck.com/images/cards/18973184.jpg,18973184-branded-lost.jpg,downloaded
Branded Opening,36637374,36637374,1,https://images.ygoprodeck.com/images/cards/36637374.jpg,36637374-branded-opening.jpg,downloaded
Branded Regained,34090915,34090915,1,https://images.ygoprodeck.com/images/cards/34090915.jpg,34090915-branded-regained.jpg,downloaded
Branded Retribution,17751597,17751597,1,https://images.ygoprodeck.com/images/cards/17751597.jpg,17751597-branded-retribution.jpg,downloaded
Branded Sword,81767888,81767888,1,https://images.ygoprodeck.com/images/cards/81767888.jpg,81767888-branded-sword.jpg,downloaded
Brave Scizzar,74277583,74277583,1,https://images.ygoprodeck.com/images/cards/74277583.jpg,74277583-brave-scizzar.jpg,downloaded
Brave-Eyes Pendulum Dragon,88305705,88305705,1,https://images.ygoprodeck.com/images/cards/88305705.jpg,88305705-brave-eyes-pendulum-dragon.jpg,downloaded
Bravedrive,78161361,78161361,1,https://images.ygoprodeck.com/images/cards/78161361.jpg,78161361-bravedrive.jpg,downloaded
"Bravo, Fighter Fur Hire",66740005,66740005,1,https://images.ygoprodeck.com/images/cards/66740005.jpg,66740005-bravo-fighter-fur-hire.jpg,downloaded
Break Away,9852718,9852718,1,https://images.ygoprodeck.com/images/cards/9852718.jpg,9852718-break-away.jpg,downloaded
Breachborrel Dragon,90011273,90011273,1,https://images.ygoprodeck.com/images/cards/90011273.jpg,90011273-breachborrel-dragon.jpg,downloaded
Break Off Trap Hole,56526564,56526564,1,https://images.ygoprodeck.com/images/cards/56526564.jpg,56526564-break-off-trap-hole.jpg,downloaded
Break the Seal,69873498,69873498,1,https://images.ygoprodeck.com/images/cards/69873498.jpg,69873498-break-the-seal.jpg,downloaded
Break the Destiny,4008212,4008212,1,https://images.ygoprodeck.com/images/cards/4008212.jpg,4008212-break-the-destiny.jpg,downloaded
